anime_id,title,anime_url,views,type,rating_avg
15116,Башня Бога 2: Битва при Мастерской,bashnya-boga-bitva-pri-masterskoy,297 579,Сериал,7.71
15115,Дораэмон: Истории о мире искусства Нобиты — Фильм 44,doraemon-movie-44-nobita-no-e-sekai-monogatari,4 586,Полнометражный фильм,4.50
15109,Необъятный океан 2,neobyatnyy-okean-2,2 880 459,Сериал,9.14
15108,Опасность в моём сердце — Фильм,opasnost-v-moem-serdce-film,104 958,Полнометражный фильм,8.92
15107,Вистория: Меч и жезл 2,mech-i-zhezl-vistorii-2,1 078 791,Сериал,9.07
15101,Ми-ми-ми-мишка 2: Мини-аниме,mi-mi-mi-mishka-mini-anime,9 770,ONA,5.86
15085,Штурмовые ведьмы: 501-й отряд поднимается в небо! Фильм,shturmovye-vedmy-501-y-otryad-podnimaetsya-v-nebo-film,6 801,Полнометражный фильм,6.44
15084,Провожающая в последний путь Фрирен 2,provozhayuschaya-v-posledniy-put-friren-2,3 694 331,Сериал,9.02
15083,Тигр и Журавль,hu-he-yao-shi-lu,9 709,ONA,6.53
15067,О моём перерождении в слизь: Слёзы синего моря,o-moem-pererozhdenii-v-sliz-film-2,682 730,Полнометражный фильм,8.67
15066,О моём перерождении в слизь 4,o-moem-pererozhdenii-v-sliz-4,2 511 395,Сериал,9.12
15065,Ракшаса — улица демонов 4,ulica-demonov-4,25 828,ONA,4.38
15064,Древний лекарь в современном городе,drevniy-lekar-v-sovremennom-gorode,132 188,ONA,5.55
15048,Полуночный удар: Короткие эпизоды,polunochnyy-udar-korotkie-epizody,10 430,ONA,7.17
15047,Сказание о пастухе богов,mushen-ji,385 805,ONA,8.54
15041,Моя сэмпай — парень? Солнечно после дождя,senpai-wa-otokonoko-movie-ame-nochi-hare,17 538,Полнометражный фильм,7.36
15035,Седьмой киллер: Дополнительная история,sedmoy-killer-dopolnitelnaya-istoriya,19 692,ONA,6.95
15014,Пожиратель звёзд: Континент Застывшей крови,pozhiratel-zvezd-kontinent-zastyvshey-krovi,33 991,ONA,7.08
15013,"Все в клане под прикрытием, кроме меня",vse-v-klane-pod-prikrytiem-krome-menya,37 359,ONA,4.84
15007,Декаполиция,decapolice,6 869,Сериал,0.00
14988,"Дочь, которую защищал бог горилл, любима королевскими рыцарями",doch-kotoruyu-zaschischal-bog-gorill-lyubima-korolevskimi-rycaryami,248 457,Сериал,6.90
14969,Волчица и пряности: Торговец встречает мудрую волчицу 2,volchica-i-pryanosti-torgovec-vstrechaet-mudruyu-volchicu-2,38 047,Сериал,0.00
14944,Путь к небу,dadao-chaotian,25 465,ONA,8.08
14943,Император дао,shendao-dizun,38 053,ONA,6.35
14940,Седьмой киллер 5,sedmoy-killer-5,88 658,ONA,8.20
14935,Человек-мускул 2,kinnikuman-kanpeki-choujin-shiso-hen-season-2,11 258,Сериал,6.40
14934,Ван-Пис: Незыблемое правосудие! Хроника морского дозора!,one-piece-yuruganu-seigi-kaigun-no-hokoritakaki-log,12 860,Спешл,6.28
14933,Поймай падающую звезду! Тинипин,shooting-star-catch-tiniping,6 942,Малометражный сериал,5.17
14908,Город,gorod,78 560,Сериал,8.23
14907,Дракон-горничная госпожи Кобаяси: Одинокий дракон,drakon-gornichnaya-gospozhi-kobayasi-odinokiy-drakon,107 747,Полнометражный фильм,8.55
14882,Загадочное убийство мёртвых,zagadochnoe-ubiystvo-mertvyh,12 623,Сериал,5.39
14881,Жабры,zhabry,5 043,Полнометражный фильм,0.00
14838,Аля иногда кокетничает со мной по-русски 2,alya-inogda-koketnichaet-so-mnoy-po-russki-2,278 131,Сериал,0.00
14831,Бездомный,bezdomnyy,65 140,ONA,7.38
14806,Синобанай! Криптониндзя Сакуя 3,sinobanay-kriptonindzya-sakuya-3,3 128,Малометражный сериал,1.00
14781,Гуррен-Лаганн: Параллельные миры 2,gurren-lagann-parallelnie-miri-2,35 747,Малометражный сериал,6.47
14780,Гуррен-Лаганн: Сладкий сон Вирала,gurren-lagann-sladkiy-son-virala,22 850,OVA,6.56
14779,Современная любовь в Токио,sovremennaya-lyubov-v-tokio,6 528,ONA,7.65
14778,Могу я попросить ещё кое-что?,mogu-ya-poprosit-esche-koe-chto,1 927 655,Сериал,7.94
14771,Невинный панк,nevinnyy-pank,135 885,Короткометражный фильм,7.92
14770,Очаровательный цветок расцветает с достоинством,ocharovatelnyy-cvetok-rascvetaet-s-dostoinstvom,3 391 597,Сериал,8.67
14769,Альдноа.Зеро: Фрагменты дождя — Предпоследняя истина,aldnoa-zero-fragmenty-dozhdya-predposlednyaya-istina,23 262,Спешл,6.76
14768,Поднятие уровня в одиночку: Повторное пробуждение — Рекап,podnyatie-urovnya-v-odinochku-povtornoe-probuzhdenie,380 938,Полнометражный фильм,7.48
14761,Богиня благословляет этот прекрасный мир 3 — OVA,etot-zamechatelnyy-mir-3-ova,193 552,OVA,8.70
14748,Эльф не может сидеть на диете: Спецвыпуски,elf-ne-mozhet-sidet-na-diete-specvypuski,20 019,Спешл,5.87
14741,Zoku Zou no Senaka: Baton Touch,zoku-zou-no-senaka-baton-touch,4 689,OVA,5.88
14740,Zou no Senaka: Tabidatsu Hi,zou-no-senaka-tabidatsu-hi,4 251,OVA,6.33
14739,Маленький гражданин 2,malenkiy-grazhdanin-2,71 844,Сериал,8.26
14726,Мой WeChat связан с дворцом драконов,moy-wechat-svyazan-s-dvorcom-drakonov,19 689,ONA,5.69
14719,Плач девичьей группы — Фильмы,plach-devichey-gruppy-filmy,11 793,Полнометражный фильм,7.60
14706,Земля клавиатурного бессмертного,zemlya-klaviaturnogo-bessmertnogo,23 040,ONA,6.00
14699,"Пока-пока, Земля 2",poka-poka-zemlya-2,62 695,Сериал,6.43
14636,Мастера Меча Онлайн: Альтернативная «Призрачная пуля» — Рекап,mastera-mecha-onlayn-alternativnaya-prizrachnaya-pulya-rekap,24 290,Спешл,6.90
14629,Гайвер II,gayver-ii-ova,12 090,OVA,7.90
